day,daily_total_gdp,dam_storage,downstream_storage,upstream_storage,river_discharge_downstream,houses_damaged_by_inundation,financial_damage_by_innundation,financial_damage_by_flood
212,4375252582.672173,41089246.374201514,0.0,3232264.4579508137,2036789.265895561,0.0,0.0,0.0
213,4346781140.967382,41137730.34107078,0.0,1605476.4803968845,919398.394129314,0.0,0.0,0.0
214,4326785172.814527,41161812.488276735,0.0,786683.4753944734,423764.1759073671,0.0,0.0,0.0
215,4315289843.440973,41173612.74040765,0.0,385474.902943292,199622.13502981083,0.0,0.0,0.0
216,4340710463.0901985,41179394.8639518,0.0,188882.70244221308,95408.15281516762,0.0,0.0,0.0
217,4382803698.599295,41182228.10448843,0.0,92552.5241966844,46027.98687460022,0.0,0.0,0.0
218,4490288436.685595,41183616.39235138,2159265.0,1936370.7368563754,2255491.8111671046,0.0,0.0,0.0
219,4476504796.098458,41212661.953404225,2159265.0,2850153.26409321,2914363.4342227355,0.0,0.0,0.0
220,4511896172.375202,41255414.25236563,0.0,1396575.0994056729,958074.15355301,0.0,0.0,0.0
221,4535594773.670048,41276362.87885671,36707505.0,32831661.798708778,38379746.54147613,0.0,0.0,0.0
222,4559787924.6795025,41768837.80583734,6639500.229461849,16358083.409112884,14949437.238881387,0.0,0.0,0.0
223,4511379016.936152,42014209.05697403,0.0,8143060.014703657,5722139.131296672,0.0,0.0,0.0
224,4528459458.501034,42136354.95719459,0.0,4025434.007934026,2484162.0010976223,0.0,0.0,0.0
225,4554189124.373628,42196736.4673136,0.0,1972462.6638876728,1116192.3441604073,0.0,0.0,0.0
226,4608894594.045444,42226323.407271914,0.0,966506.7053049597,516620.13772537117,0.0,0.0,0.0
227,4586950004.355174,42240821.00785149,0.0,473588.28559943027,244049.6342114634,0.0,0.0,0.0
228,4650886121.465566,42247924.83213548,0.0,232058.25994372083,116856.05078142651,0.0,0.0,0.0
229,4711327932.211032,42251405.70603464,719755.0,744048.5473724231,800825.8838882417,0.0,0.0,0.0
230,4776410983.732153,42262566.43424522,0.0,364583.7882124873,249186.3388068413,0.0,0.0,0.0
231,4785179908.066018,42268035.19106841,0.0,178646.05622411877,108352.2977258331,0.0,0.0,0.0
232,4855504296.718208,42270714.88191177,32388975.0,28452836.567549817,33546288.4233988,0.0,0.0,0.0
233,4934560501.270747,42697507.43042502,9674664.55723226,17964058.985325754,17263507.19294026,0.0,0.0,0.0
234,4981708776.194626,42966968.3152049,0.0,8941068.559631249,6276140.099076724,0.0,0.0,0.0
235,5009147973.649825,43101084.34359937,0.0,4448401.101253328,2739391.0884045344,0.0,0.0,0.0
236,5016883780.081451,43167810.36011817,31669220.0,29959160.55062666,34006247.833342925,0.0,0.0,0.0
237,5065900720.07702,43617197.76837757,28194173.223566603,35129931.37121224,36875757.81670794,0.0,0.0,0.0
238,5066771945.476459,44144146.73894576,5577761.96706998,18825645.68560612,15862109.81037663,0.0,0.0,0.0
239,5080482682.641414,44426531.42422985,719755.0,10043162.84280306,7002941.876263283,0.0,0.0,0.0
240,5107040816.18617,44577178.8668719,719755.0,5644183.199712623,8213793.607798952,0.0,0.0,0.0
241,3994998060.3591127,40204123.7281804,123797860.0,111236204.16917954,129646767.58282742,43512.077112091734,1192111701.7011435,0.0
242,4610616171.327278,41872666.79071809,61606618.172966644,80828483.81835298,85610400.30661711,8385.11250620632,229729109.75907725,0.0
243,4735164797.884879,43085094.04799339,40073165.45188999,63106481.90917649,63376491.23966204,0.0,0.0,0.0
244,4734294127.195539,44031691.27663104,7654978.481406514,31501821.031639602,26082209.422567397,0.0,0.0,0.0
245,4821878258.887226,44504218.592105635,0.0,15710789.68703114,10478131.940806434,0.0,0.0,0.0
246,4890107037.965914,44739880.4374111,17993875.0,23611871.53438083,27750015.420694713,0.0,0.0,0.0
247,4117578925.5230813,40620070.466685705,98959788.47000545,97526643.05594358,109552739.52196904,28072.592206029498,769112115.2336849,0.0
248,4683688068.933279,42082970.11252486,25352699.695933938,48746641.55888514,46831442.872476906,0.0,0.0,0.0
249,4670613499.4886,42814169.735908136,3284782.6408952773,24372196.21615616,19152068.01541196,0.0,0.0,0.0
250,4697809996.162714,43179752.67915048,0.0,12139931.510734735,7923093.50583445,0.0,0.0,0.0
251,4757533814.175267,43361851.651811495,0.0,6011206.837537321,3526003.333144032,0.0,0.0,0.0
252,4886052258.445174,43452019.754374556,0.0,2950142.495124487,1613989.5152169056,0.0,0.0,0.0
253,4910995042.457002,43496271.891801424,0.0,1445569.8226109988,756052.4854907931,0.0,0.0,0.0
254,4916381043.877685,43517955.43914059,0.0,708329.2130793894,360025.0048008415,0.0,0.0,0.0
255,4942417743.780136,43528580.37733678,0.0,347081.3144089008,173280.03842551817,0.0,0.0,0.0
256,5009341715.91317,43533786.59705291,0.0,170069.84406036139,83967.55465043566,0.0,0.0,0.0
257,5032591705.072015,43536337.64471381,0.0,83334.22358957707,40862.202525292996,0.0,0.0,0.0
258,5149297430.923972,43537587.65806766,0.0,40833.76955889277,19937.909461367428,0.0,0.0,0.0
259,5194073650.797599,43538200.16461104,8637060.0,7584496.884779446,8942561.048485624,0.0,0.0,0.0
260,5202202877.795923,43651967.617882736,3598775.0,6930171.868333703,6418201.373952123,0.0,0.0,0.0
